"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Heat","EJ/yr","",1.3773,1.2883,1.3630000000000002,1.3294,1.3947,1.4725,1.5522,1.6242,1.71,1.7943,1.9131,2.025,2.1507,2.2751,2.362,2.4425,2.5029,2.5039,2.5287
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,17.7992,17.5554,18.1273,18.395,18.5344,18.4527,18.2571,18.035,18.2062,18.4224,18.5112,18.4454,18.3005,18.3063,18.382800000000003,18.5374
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Gases","EJ/yr","",7.6863,6.6359,6.8404,6.5256,6.3206000000000016,6.5149,6.4762,6.3599999999999985,6.0125,5.5809,4.9226,4.5509,4.1214,3.5667,3.0766,2.557,2.2621,2.2958,2.2849
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Electricity","EJ/yr","",6.4234,6.1599,6.5959,6.5505,6.9383,7.3659,7.8227,8.2431,8.7399,9.232999999999999,9.8947,10.5014,11.17,11.8446,12.311,12.7266,13.0465,13.1077,13.2726
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial|Residential","Mt CO2/yr","",465.3229,379.5889,376.7189,362.4887,347.2195,350.7713,344.8538,335.9044,318.157,296.9023,267.9311,250.4819,231.2775,206.1734,182.4197,156.0177,139.4712,139.6846,137.6347
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.6716000000000015,6.718,7.1799,7.476199999999999,7.6983,7.796,7.8281,7.8529,8.0945,8.367700000000001,8.5861,8.7178,8.8086,8.966600000000003,9.1339,9.3449
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Electricity","EJ/yr","",3.1897,3.1001,3.3691,3.4583,3.7413,3.9989999999999997,4.2989999999999995,4.5847000000000016,4.9266,5.2726,5.7095,6.1031,6.5286,6.9417,7.2226,7.45,7.6534,7.7774,7.9510999999999985
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial","Mt CO2/yr","",202.5313,180.6113,184.46,157.3227,140.6025,152.0193,149.9767,144.27700000000004,126.9413,105.2656,77.292,65.5244,53.5387,39.2738,28.6924,19.215999999999998,15.1971,16.9864,17.9251
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Gases","EJ/yr","",5.4939,4.6054,4.7120000000000015,4.6616,4.5843,4.6454,4.6122999999999985,4.541600000000002,4.371,4.1684,3.8473,3.6291,3.3666,3.0124,2.6719999999999997,2.2871,2.0488,2.0566,2.0318
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Heat","EJ/yr","",0.4645,0.4373,0.4704,0.4761,0.5133,0.5464,0.5849,0.6215,0.6658,0.7105,0.7678,0.8203,0.8777,0.9313,0.9676,0.9971,1.0245,1.0412,1.0659999999999998
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Gases","EJ/yr","",2.1924,2.0304,2.1283000000000003,1.8639,1.7363000000000002,1.8695,1.864,1.8184,1.6415,1.4125,1.0754,0.9217,0.7548,0.5543,0.4047,0.2699,0.2134,0.2392,0.2531
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Heat","EJ/yr","",0.9128,0.851,0.8926,0.8533,0.8814,0.9262,0.9673,1.0027,1.0442,1.0838,1.1453,1.2047,1.273,1.3438,1.3943,1.4454,1.4784,1.4626,1.4627
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.1276,10.8374,10.9474,10.9188,10.8361,10.6566,10.4291,10.1823,10.1117,10.0548,9.925199999999998,9.7276,9.4921,9.3397,9.2488,9.1925
"AIM/CGE 2.2","EN_NPi2020_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Electricity","EJ/yr","",3.2337,3.0598,3.2268,3.0922,3.197,3.3669,3.5237000000000003,3.6585,3.8133,3.9602,4.1852,4.3984000000000005,4.6415,4.9029,5.0886000000000005,5.2767,5.3931,5.3302999999999985,5.3214000000000015
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial","Mt CO2/yr",827.0549049377441,813.9034767150879,793.0971298217772,787.4088363647461,688.4424705505371,621.1196022033691,589.6605033874513,536.7645111083983,469.7911682128906,420.8649673461914,"",370.8424072265625,"",338.8651008605957,"",316.65348434448237,"",288.778018951416,"",271.38395118713385
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Heat","EJ/yr",1.4772416000366209,1.465094902038574,1.45866390991211,1.473844665527344,1.4349906616210941,1.402638023376465,1.397468879699707,1.39391618347168,1.366552612304688,1.3283548126220701,"",1.206587783813477,"",1.072903358459473,"",0.9273140792846679,"",0.8078654899597169,"",0.7241887550354005
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr",22.73134259033204,23.31115490722656,22.96757629394532,23.24956054687501,21.287604858398442,20.09563916015625,19.98871838378907,19.627191772460943,18.7920810546875,18.131095703125,"",17.33298071289062,"",16.5712900390625,"",16.00456005859375,"",15.46371252441406,"",15.26941491699219
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Gases","EJ/yr",8.819701568603518,9.58382327270508,9.790016174316406,10.17237255859375,9.269767623901368,8.586944946289062,8.102808776855468,7.219916564941408,6.3368072204589865,5.8274662475585925,"",5.406691711425781,"",5.292417877197267,"",5.089456207275392,"",4.615449737548828,"",4.187802520751953
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Electricity","EJ/yr",6.3728810729980445,7.039106597900393,7.197297332763673,7.72803564453125,7.634832763671875,7.576092651367188,7.773727905273438,7.964688781738283,8.006458496093751,7.962276092529298,"",7.979222564697268,"",8.36280908203125,"",8.646896026611326,"",8.856582305908203,"",9.09618295288086
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial|Residential","Mt CO2/yr",602.8226051330566,588.6488151550292,568.1235084533691,555.2622604370117,470.2999420166016,409.5740966796875,370.2715454101562,313.05605316162115,252.8418426513672,212.82362747192383,"",173.33099365234384,"",151.3308143615723,"",147.5245590209961,"",139.1059093475342,"",130.2203788757324
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr",7.003437072753906,7.793251831054688,7.798003051757814,8.156177001953125,8.037678100585937,8.231521240234375,8.842037963867188,9.325760864257813,9.48634912109375,9.597582641601562,"",9.953349731445313,"",10.22730895996094,"",10.02672888183594,"",9.753426513671878,"",9.711380615234372
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial","Mt CO2/yr",224.2322998046875,225.2546615600586,224.9736213684082,232.1465759277344,218.14252853393552,211.5455055236816,219.38895797729492,223.70845794677732,216.9493255615234,208.04133987426758,"",197.51141357421884,"",187.5342864990234,"",169.1289253234863,"",149.6721096038818,"",141.1635723114014
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Gases","EJ/yr",6.22852490234375,6.345581359863282,6.521942993164062,7.00397119140625,6.34483203125,5.569344116210939,4.830258911132812,3.7470709228515617,2.7698901977539054,2.2127386474609367,"",1.885987487792969,"",1.9495603942871091,"",2.074680206298828,"",1.9474967041015632,"",1.6715180358886719
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Heat","EJ/yr",0.45782799530029294,0.5338994979858398,0.5296325073242187,0.5334267883300782,0.5020134887695313,0.4867325057983399,0.4910897903442383,0.4899340057373047,0.4700755920410157,0.4467765045166016,"",0.3975281066894531,"",0.3458292770385742,"",0.2892429656982422,"",0.2420990333557129,"",0.2109433708190918
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Gases","EJ/yr",2.591176666259765,3.2382419128417967,3.2680731811523436,3.1684013671875,2.9249355926513685,3.017600830078125,3.2725498657226564,3.472845642089844,3.566917022705078,3.6147276000976563,"",3.520704223632813,"",3.3428574829101567,"",3.014776000976563,"",2.667953033447266,"",2.516284484863281
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Heat","EJ/yr",1.019413604736328,0.9311954040527344,0.9290314025878906,0.9404178771972656,0.9329771728515626,0.915905517578125,0.9063790893554688,0.9039821777343752,0.8964770202636718,0.8815783081054687,"",0.8090596771240235,"",0.7270740814208985,"",0.6380711135864258,"",0.5657664566040039,"",0.5132453842163086
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr",15.72790551757812,15.517903076171871,15.1695732421875,15.09338354492188,13.2499267578125,11.86411791992188,11.14668041992188,10.30143090820312,9.30573193359375,8.533513061523438,"",7.379630981445312,"",6.343981079101562,"",5.977831176757812,"",5.710286010742188,"",5.5580343017578135
"IMAGE 3.0","EN_INDCi2030_3000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Electricity","EJ/yr",3.541382690429688,3.751616027832031,3.86481103515625,4.074832336425781,3.8152685546875,3.467325317382812,3.198149169921875,3.003609558105469,2.812679565429687,2.54891616821289,"",1.977660430908203,"",1.832381469726562,"",1.943942657470703,"",2.103957427978516,"",2.240946563720703
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Emissions|CO2|Energy|Demand|Residential and Commercial","Mt CO2/yr",41.51444959640503,42.934747219085686,52.78148078918457,60.402419090270996,67.18195724487305,73.39719009399414,75.24717903137206,76.6226577758789,76.48155021667479,76.52151107788086,"",77.5342788696289,"",75.98483085632323,"",71.67954826354979,"",67.44482040405272,"",65.02462005615234
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Heat","EJ/yr",0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial","EJ/yr",1.315724349975586,1.3796136474609382,1.613620025634766,1.779518676757813,1.9136728515625,2.061234130859375,2.161746398925781,2.29825634765625,2.3668984985351558,2.3950586547851556,"",2.50714599609375,"",2.550069946289062,"",2.477296997070312,"",2.383953002929688,"",2.366807006835938
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Gases","EJ/yr",0.3159779891967773,0.3836834030151367,0.534728988647461,0.6700870056152344,0.7801849975585937,0.8933340148925781,0.9625197143554688,1.051182220458984,1.102668182373047,1.117438110351562,"",1.081256805419922,"",1.029258361816406,"",0.968898406982422,"",0.9201548156738282,"",0.9030519104003908
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Electricity","EJ/yr",0.2282527999877929,0.3104241943359375,0.3885538024902344,0.4957332000732422,0.5959615173339844,0.6831173095703125,0.741976318359375,0.807073486328125,0.8476681823730469,0.8751815185546875,"",0.981027801513672,"",1.0558370971679691,"",1.059025299072266,"",1.021087280273437,"",1.002360595703125
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Emissions|CO2|Energy|Demand|Residential and Commercial|Residential","Mt CO2/yr",36.9397087097168,37.40192031860352,44.24702835083008,48.0753288269043,51.00983810424805,53.23464965820313,52.87921905517578,51.863258361816406,50.36602020263672,49.49554061889648,"",49.14625930786133,"",48.03593063354492,"",45.98955917358398,"",43.57603073120117,"",41.9901008605957
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Commercial","EJ/yr",0.198222396850586,0.25957470703125,0.3526470031738281,0.475168701171875,0.5938538818359375,0.7180120849609375,0.7925424194335937,0.8768953857421875,0.9312994995117188,0.9687957153320312,"",1.080904052734375,"",1.138902954101563,"",1.1131689453125,"",1.080159057617188,"",1.092699951171875
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial","Mt CO2/yr",4.5747408866882315,5.532826900482178,8.534452438354492,12.3270902633667,16.172119140625,20.16254043579102,22.36795997619629,24.7593994140625,26.11553001403809,27.02597045898437,"",28.388019561767567,"",27.94890022277832,"",25.68998908996582,"",23.86878967285156,"",23.03451919555664
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Residential|Gases","EJ/yr",0.2344319000244141,0.2850604858398438,0.3842793884277344,0.4557235107421875,0.5005425109863282,0.5422999267578125,0.5718400268554688,0.617401611328125,0.6429924926757813,0.6386661987304688,"",0.5752337036132813,"",0.5310692749023438,"",0.5109782104492188,"",0.4946965026855469,"",0.4924587097167969
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Commercial|Heat","EJ/yr",0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Commercial|Gases","EJ/yr",0.0815460891723632,0.0986229171752929,0.1504496002197266,0.2143634948730469,0.2796424865722656,0.3510340881347656,0.3906796875,0.4337806091308594,0.4596756896972656,0.4787719116210938,"",0.5060231018066407,"",0.4981890869140625,"",0.4579201965332032,"",0.4254583129882813,"",0.4105932006835938
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Residential|Heat","EJ/yr",0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Residential","EJ/yr",1.117501953125,1.120038940429688,1.260973022460938,1.304349975585938,1.319818969726562,1.343222045898438,1.3692039794921882,1.421360961914063,1.4355989990234381,1.426262939453125,"",1.426241943359375,"",1.4111669921875,"",1.3641280517578118,"",1.3037939453125,"",1.274107055664063
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Residential|Electricity","EJ/yr",0.1115764999389648,0.1495670928955078,0.1884615020751953,0.2400724029541016,0.2896141052246094,0.3238402099609375,0.34824951171875,0.3731395874023438,0.3846701965332031,0.3912673034667969,"",0.4100210876464844,"",0.41935009765625,"",0.4084028015136719,"",0.37107470703125,"",0.3250546875
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial","Mt CO2/yr",667.015,647.9203,513.3514,492.3693,418.9971,375.8951,286.4982,162.7375,82.8446,13.5796,5.5699,3.5132,"",0.8064,"",0.7732,"",11.1055,"",11.1145
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Final Energy|Residential and Commercial|Heat","EJ/yr",1.5247,1.5536,1.3497,1.4222,1.6995,1.7528,1.6206,1.4802,1.3381,1.2252,1.1585,1.1448,"",1.1292,"",0.9670000000000001,"",0.6438,"",0.439
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr",19.4405,20.4678,17.7441,18.2269,17.663,17.3877,16.149,14.0204,12.2749,10.8509,9.8557,9.0386,"",8.0881,"",7.9014,"",7.2986,"",7.2501
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Final Energy|Residential and Commercial|Gases","EJ/yr",7.0324,7.439,6.0491,6.087000000000001,5.5203,4.9126,3.7798,2.2443,1.3184,0.5077,0.4913,0.5099,"",0.4044,"",0.3435,"",0.2713,"",0.3258
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Final Energy|Residential and Commercial|Electricity","EJ/yr",5.5667,6.2743,5.8003,6.4577,6.6394,7.0447,7.6372,7.8664,7.9057,7.6425,7.0184,6.4059,"",6.0836,"",6.1959,"",6.1129,"",6.12
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial","Mt CO2/yr",666.3307,652.3312,536.4457,520.6758,450.3333,349.7579,241.2317,107.3826,38.6711,11.9904,7.7186,5.3703,"",3.2304,"",18.4882,"",20.8493,"",21.7222
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Final Energy|Residential and Commercial|Heat","EJ/yr",1.5247,1.5672,1.2890000000000001,1.4537,1.4433,1.3381,1.3006,1.2984,1.4656,1.5124,1.3949,1.2662,"",1.0269,"",1.0303,"",1.0448,"",1.0312
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr",19.4405,20.3268,17.7701,18.4451,17.949,17.4724,16.82,15.5182,14.9428,14.4918,14.1348,13.7835,"",13.794,"",14.0465,"",14.0355,"",14.6531
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Final Energy|Residential and Commercial|Gases","EJ/yr",7.0324,7.3779,6.0919,6.1307,5.8208,5.1479,3.8631,1.9052,0.9826,0.5137,0.5168,0.5463,"",0.4982,"",0.3855,"",0.4424,"",0.5399
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Final Energy|Residential and Commercial|Electricity","EJ/yr",5.5667,6.1826,5.832999999999999,6.5185,6.7741,7.6128,9.0304,10.4623,11.3327,11.8431,11.8103,11.6734,"",12.0828,"",12.3297,"",12.2945,"",12.9346
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial","Mt CO2/yr","",628.11707569,509.35584613,497.65482584,496.23948659,502.29424495,470.83911129,466.57154448,458.87853678,445.17918662,431.93394162,420.36842231,406.20691394000016,393.76392276,381.39708693,367.72865443,352.83197929000005,340.20674416,331.4854433299999,349.7939063099999
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Heat","EJ/yr","",0.5106125,0.4035238,0.4338262,0.4685264,0.48687840000000004,0.4809307,0.4797897,0.4744898,0.47077340000000006,0.4661964,0.45173149999999995,0.43133530000000003,0.41112029999999994,0.3867696,0.3661353,0.3499771,0.3281018,0.308757,0.2873033
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",19.2647712,17.0633911,17.58538082,18.269147399999998,18.89013037,19.34553457,19.80707694,20.17666944,20.428378180000006,20.6949664,21.00016603,21.211839029,21.355703179000002,21.380634518,21.269269413000004,21.049096882,20.803186241,20.501130632,20.24189252
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Gases","EJ/yr","",7.371968000000002,6.2433950000000005,6.3294760000000005,6.390283999999999,6.602627999999998,6.0658900000000004,5.960531,5.873757,5.67652,5.568786,5.584701,5.561405000000001,5.545483,5.487152,5.343912,5.123594000000001,4.952249,4.823517,5.075383
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Electricity","EJ/yr","",6.0884754999999995,5.8324031000000005,6.3206874000000015,7.0483839999999995,7.697734,8.893775,9.56453,10.278784,10.878554,11.40217,11.903582,12.383574000000001,12.766939,13.063172999999999,13.266065,13.380417000000001,13.438393,13.40541,13.033674000000001
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial|Residential","Mt CO2/yr","",446.33945480000006,349.80588726,340.8356114799999,339.56138539,341.72573313,322.7270032200001,318.9163795,313.32733094,303.91072562,294.16074364,284.56949564,273.31363182,263.24302137,253.30859459,243.1467542,232.54158875,223.03265040000002,215.95695651,224.02666344
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Electricity","EJ/yr","",3.0602099,2.9800402000000004,3.2541092999999996,3.6502095000000003,4.0128517,4.635513400000001,5.0061615,5.399253,5.7338130000000005,6.040221,6.349835,6.651803999999999,6.911353,7.1243110000000005,7.281052000000001,7.384192999999999,7.461736,7.494662,7.3546010000000015
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial","Mt CO2/yr","",181.77762079,159.54995887,156.81921436,156.6781012,160.56851183,148.11210807,147.65516498,145.55120573,141.26846111,137.77319798,135.79892676999998,132.89328211999998,130.52090139,128.08849225,124.58190023,120.29039052,117.17409367,115.52848681,125.76724288
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Gases","EJ/yr","",5.183313,4.205693,4.2459989999999985,4.274952,4.391566,4.058222,3.971191,3.905677,3.767097,3.681545,3.6695629999999997,3.632575,3.600314,3.541261,3.433301,3.2781029999999998,3.151726,3.052447,3.165752
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Heat","EJ/yr","",0.12041410000000001,0.0894128,0.10132310000000001,0.1132319,0.1193809,0.1210325,0.12288160000000001,0.1226001,0.12324849999999998,0.1236215,0.1208661,0.1166103,0.1119013,0.10576760000000002,0.1005398,0.09695152,0.09163609,0.08658006,0.08003997
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Gases","EJ/yr","",1.0538991000000002,0.9786469999999999,1.0043029,1.0215397,1.0668556,1.0015125,0.9944184000000001,0.9874513,0.9589393,0.9443181999999999,0.9523792,0.9561761999999999,0.9575132,0.9517561,0.9286540999999999,0.8920351000000001,0.8654221,0.8436891,0.8832701
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Heat","EJ/yr","",0.39019840000000006,0.31411100000000003,0.3325031,0.3552945,0.3674975,0.3598982,0.35690809999999995,0.35188969999999997,0.3475249,0.3425749,0.33086540000000003,0.314725,0.299219,0.281002,0.2655955,0.25302559999999996,0.23646570000000003,0.22217689999999998,0.20726329999999998
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Electricity","EJ/yr","",3.0282656,2.8523629,3.0665781,3.3981739999999996,3.6848824999999996,4.258262,4.5583682,4.8795310999999995,5.1447413000000015,5.3619486,5.5537465,5.7317683,5.8555858,5.938857700000001,5.9850172,5.9962258,5.9766574000000015,5.9107512,5.6790699
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Cooling","EJ/yr","",0.6273460999999999,0.6010555999999999,0.5864085,0.5767797,0.5648786,0.5511304,0.5349948,0.5185953,0.4999614999999999,0.4797437,0.4588841999999999,0.4359983,0.41409579999999996,0.39089359999999995,0.3689991,0.3472833,0.3261786,0.3053643,0.28526809999999997
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Cooling","EJ/yr","",0.3151604,0.3070702,0.300190264,0.295508915,0.289576426,0.282668175,0.274680406,0.26658644600000003,0.257352392,0.247203048,0.2367094149999999,0.225319985,0.214304661,0.20268114,0.19157072100000003,0.18055530399999997,0.16981369,0.159187879,0.148957375
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Cooling","EJ/yr","",0.3121857,0.2939854,0.28621820000000003,0.2812708,0.2753022,0.26846220000000004,0.2603144,0.2520089,0.2426091,0.23254070000000002,0.2221748,0.21067829999999999,0.1997911,0.1882125,0.1774284,0.166728,0.1563648999999999,0.1461763999999999,0.1363107
"Â© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6"